project_name,base_commit,parent_commit_test_suites,other_parent_commit,merge_commit,tool,behavior_change,criteria,failed_test_cases,local_test_suite,class_under_analysis,method_under_analysis,flaky_tests,jar_type
storm,e3b2f96931317d98bff0e2be567a0bf80e835f43,0aa0e8579,NOT-REQUIRED,ad2be678831b3b060229fd936e3908110162b7ac,DIFFERENTIAL-EVOSUITE,True,FIRST_CRITERION,{'KafkaSpoutConfig_ESTest#test0'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/storm/ad2be678831b3b060229fd936e3908110162b7ac/evosuite_7,org.apache.storm.kafka.spout.KafkaSpoutConfig,toString(),set(),transformed
storm,e3b2f96931317d98bff0e2be567a0bf80e835f43,0aa0e8579,NOT-REQUIRED,ad2be678831b3b060229fd936e3908110162b7ac,RANDOOP,True,FIRST_CRITERION,{'(RegressionTest32#test16071'| '(RegressionTest17#test08644'| '(RegressionTest2#test01128'| '(RegressionTest30#test15245'| '(RegressionTest25#test12636'| '(RegressionTest32#test16248'| '(RegressionTest5#test02613'| '(RegressionTest10#test05244'| '(RegressionTest1#test00937'| '(RegressionTest26#test13108'| '(RegressionTest11#test05556'| '(RegressionTest28#test14370'| '(RegressionTest21#test10838'| '(RegressionTest31#test15688'| '(RegressionTest34#test17196'| '(RegressionTest25#test12592'| '(RegressionTest29#test14939'| '(RegressionTest27#test13874'| '(RegressionTest16#test08002'| '(RegressionTest3#test01873'| '(RegressionTest23#test11940'| '(RegressionTest22#test11317'| '(RegressionTest21#test10729'| '(RegressionTest22#test11104'| '(RegressionTest0#test00363'| '(RegressionTest3#test01675'| '(RegressionTest26#test13249'| '(RegressionTest30#test15394'| '(RegressionTest2#test01234'| '(RegressionTest7#test03957'| '(RegressionTest3#test01699'| '(RegressionTest25#test12611'| '(RegressionTest15#test07660'| '(RegressionTest1#test00999'| '(RegressionTest2#test01306'| '(RegressionTest8#test04033'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/storm/ad2be678831b3b060229fd936e3908110162b7ac/randoop_5,org.apache.storm.kafka.spout.KafkaSpoutConfig,toString(),set(),transformed
storm,e3b2f96931317d98bff0e2be567a0bf80e835f43,251cb8876,NOT-REQUIRED,ad2be678831b3b060229fd936e3908110162b7ac,RANDOOP,True,FIRST_CRITERION,{'(RegressionTest12#test06296'| '(RegressionTest13#test06529'| '(RegressionTest1#test00928'| '(RegressionTest18#test09133'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/storm/ad2be678831b3b060229fd936e3908110162b7ac/randoop_6,org.apache.storm.kafka.spout.KafkaSpoutConfig,toString(),set(),transformed
storm,e3b2f96931317d98bff0e2be567a0bf80e835f43,0aa0e8579,NOT-REQUIRED,ad2be678831b3b060229fd936e3908110162b7ac,RANDOOP-MODIFIED,True,FIRST_CRITERION,{'(RegressionTest31#test15792'| '(RegressionTest29#test14787'| '(RegressionTest2#test01300'| '(RegressionTest3#test01871'| '(RegressionTest24#test12347'| '(RegressionTest13#test06611'| '(RegressionTest33#test16721'| '(RegressionTest28#test14118'| '(RegressionTest15#test07551'| '(RegressionTest3#test01747'| '(RegressionTest10#test05135'| '(RegressionTest21#test10823'| '(RegressionTest1#test00557'| '(RegressionTest5#test02664'| '(RegressionTest23#test11960'| '(RegressionTest32#test16063'| '(RegressionTest2#test01151'| '(RegressionTest32#test16353'| '(RegressionTest20#test10099'| '(RegressionTest7#test03895'| '(RegressionTest12#test06482'| '(RegressionTest35#test17514'| '(RegressionTest32#test16088'| '(RegressionTest13#test06788'| '(RegressionTest3#test01652'| '(RegressionTest36#test18381'| '(RegressionTest10#test05041'| '(RegressionTest25#test12691'| '(RegressionTest24#test12143'| '(RegressionTest4#test02418'| '(RegressionTest13#test06581'| '(RegressionTest7#test03756'| '(RegressionTest17#test08572'| '(RegressionTest0#test00003'| '(RegressionTest3#test01930'| '(RegressionTest20#test10079'| '(RegressionTest21#test10976'| '(RegressionTest26#test13350'| '(RegressionTest29#test14683'| '(RegressionTest8#test04429'| '(RegressionTest19#test09967'| '(RegressionTest13#test06682'| '(RegressionTest12#test06195'| '(RegressionTest0#test00136'| '(RegressionTest11#test05580'| '(RegressionTest0#test00358'| '(RegressionTest8#test04483'| '(RegressionTest30#test15250'| '(RegressionTest3#test01783'| '(RegressionTest7#test03598'| '(RegressionTest35#test17651'| '(RegressionTest33#test16898'| '(RegressionTest3#test01774'| '(RegressionTest36#test18326'| '(RegressionTest3#test01621'| '(RegressionTest1#test00589'| '(RegressionTest16#test08333'| '(RegressionTest34#test17134'| '(RegressionTest24#test12059'| '(RegressionTest35#test17713'| '(RegressionTest12#test06065'| '(RegressionTest12#test06050'| '(RegressionTest7#test03630'| '(RegressionTest3#test01873'| '(RegressionTest28#test14055'| '(RegressionTest10#test05064'| '(RegressionTest22#test11166'| '(RegressionTest17#test08650'| '(RegressionTest1#test00569'| '(RegressionTest9#test05000'| '(RegressionTest9#test04512'| '(RegressionTest10#test05398'| '(RegressionTest36#test18134'| '(RegressionTest15#test07577'| '(RegressionTest7#test03824'| '(RegressionTest19#test09650'| '(RegressionTest29#test14880'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/storm/ad2be678831b3b060229fd936e3908110162b7ac/randoop-modified_3,org.apache.storm.kafka.spout.KafkaSpoutConfig,toString(),set(),transformed
storm,e3b2f96931317d98bff0e2be567a0bf80e835f43,251cb8876,NOT-REQUIRED,ad2be678831b3b060229fd936e3908110162b7ac,RANDOOP-MODIFIED,True,FIRST_CRITERION,{'(RegressionTest17#test08876'| '(RegressionTest8#test04121'| '(RegressionTest14#test07308'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/storm/ad2be678831b3b060229fd936e3908110162b7ac/randoop-modified_4,org.apache.storm.kafka.spout.KafkaSpoutConfig,toString(),set(),transformed
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,196c4d591,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,EVOSUITE,True,FIRST_CRITERION,{'Python2Target_ESTest#test09'| 'Python2Target_ESTest#test05'| 'Python2Target_ESTest#test10'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_1,org.antlr.v4.codegen.target.Python2Target,python2Keywords,set(),original
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,99b2d6616,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,EVOSUITE,True,FIRST_CRITERION,{'Python2Target_ESTest#test12'| 'Python2Target_ESTest#test00'| 'Python2Target_ESTest#test14'| 'Python2Target_ESTest#test10'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_2,org.antlr.v4.codegen.target.Python2Target,python2Keywords,set(),original
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,99b2d6616,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,DIFFERENTIAL-EVOSUITE,True,FIRST_CRITERION,{'Python2Target_ESTest#test0'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_4,org.antlr.v4.codegen.target.Python2Target,python2Keywords,set(),original
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,196c4d591,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,EVOSUITE,True,FIRST_CRITERION,{'Python2Target_ESTest#test17'| 'Python2Target_ESTest#test16'| 'Python2Target_ESTest#test10'| 'Python2Target_ESTest#test05'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_5,org.antlr.v4.codegen.target.Python2Target,python2Keywords,set(),transformed
antlr4,d0fb48c2b89128158950f4b32a61d50d52d981ea,99b2d6616,NOT-REQUIRED,69ff2669eec265e25721dbc27cb00f6c381d0b41,EVOSUITE,True,FIRST_CRITERION,{'Python2Target_ESTest#test12'| 'Python2Target_ESTest#test11'| 'Python2Target_ESTest#test16'| 'Python2Target_ESTest#test10'},/home/CIN/lmps2/semantic-conflict-study/SMAT/output-test-dest/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/evosuite_6,org.antlr.v4.codegen.target.Python2Target,python2Keywords,set(),transformed
